================ Training Loss (Sat Mar  9 23:23:53 2024) ================
(epoch: 42, iters: 82, time: 0.125, data: 0.001) D_A: 0.178 G_A: 0.293 cycle_A: 0.892 idt_A: 0.289 D_B: 0.254 G_B: 0.304 cycle_B: 0.750 idt_B: 0.528 
(epoch: 42, iters: 182, time: 0.125, data: 0.001) D_A: 0.203 G_A: 0.637 cycle_A: 1.768 idt_A: 0.333 D_B: 0.270 G_B: 0.423 cycle_B: 0.883 idt_B: 1.071 
(epoch: 43, iters: 84, time: 0.492, data: 0.001) D_A: 0.091 G_A: 0.393 cycle_A: 1.141 idt_A: 0.377 D_B: 0.304 G_B: 0.771 cycle_B: 1.376 idt_B: 0.275 
(epoch: 43, iters: 184, time: 0.125, data: 0.001) D_A: 0.355 G_A: 0.197 cycle_A: 0.959 idt_A: 0.682 D_B: 0.241 G_B: 0.227 cycle_B: 1.169 idt_B: 0.532 
(epoch: 44, iters: 86, time: 0.125, data: 0.001) D_A: 0.046 G_A: 0.496 cycle_A: 1.349 idt_A: 0.414 D_B: 0.244 G_B: 0.373 cycle_B: 1.060 idt_B: 0.627 
(epoch: 44, iters: 186, time: 0.125, data: 0.001) D_A: 0.201 G_A: 0.383 cycle_A: 1.193 idt_A: 0.741 D_B: 0.452 G_B: 0.447 cycle_B: 1.911 idt_B: 0.377 
(epoch: 45, iters: 88, time: 0.551, data: 0.001) D_A: 0.261 G_A: 0.240 cycle_A: 0.738 idt_A: 0.519 D_B: 0.254 G_B: 0.462 cycle_B: 0.987 idt_B: 0.320 
(epoch: 45, iters: 188, time: 0.125, data: 0.001) D_A: 0.122 G_A: 0.837 cycle_A: 2.264 idt_A: 0.316 D_B: 0.107 G_B: 0.368 cycle_B: 0.871 idt_B: 1.122 
(epoch: 46, iters: 90, time: 0.125, data: 0.001) D_A: 0.151 G_A: 0.435 cycle_A: 0.598 idt_A: 0.429 D_B: 0.267 G_B: 0.223 cycle_B: 1.022 idt_B: 0.216 
(epoch: 46, iters: 190, time: 0.126, data: 0.001) D_A: 0.191 G_A: 0.247 cycle_A: 0.574 idt_A: 0.683 D_B: 0.125 G_B: 0.354 cycle_B: 1.125 idt_B: 0.169 
(epoch: 47, iters: 92, time: 0.496, data: 0.001) D_A: 0.476 G_A: 0.044 cycle_A: 0.804 idt_A: 0.331 D_B: 0.633 G_B: 0.302 cycle_B: 0.702 idt_B: 0.372 
(epoch: 47, iters: 192, time: 0.125, data: 0.001) D_A: 0.546 G_A: 0.237 cycle_A: 0.872 idt_A: 0.410 D_B: 0.334 G_B: 0.827 cycle_B: 1.083 idt_B: 0.316 
(epoch: 48, iters: 94, time: 0.125, data: 0.001) D_A: 0.343 G_A: 0.077 cycle_A: 0.794 idt_A: 0.483 D_B: 0.271 G_B: 0.154 cycle_B: 1.234 idt_B: 0.315 
(epoch: 48, iters: 194, time: 0.125, data: 0.001) D_A: 0.127 G_A: 0.343 cycle_A: 0.836 idt_A: 0.430 D_B: 0.187 G_B: 0.278 cycle_B: 1.095 idt_B: 0.342 
(epoch: 49, iters: 96, time: 0.643, data: 0.001) D_A: 0.217 G_A: 0.271 cycle_A: 0.512 idt_A: 0.272 D_B: 0.282 G_B: 0.344 cycle_B: 0.640 idt_B: 0.256 
(epoch: 49, iters: 196, time: 0.125, data: 0.001) D_A: 0.094 G_A: 0.627 cycle_A: 1.601 idt_A: 0.281 D_B: 0.302 G_B: 0.195 cycle_B: 0.733 idt_B: 0.711 
(epoch: 50, iters: 98, time: 0.125, data: 0.001) D_A: 0.094 G_A: 0.416 cycle_A: 1.401 idt_A: 1.082 D_B: 0.313 G_B: 0.319 cycle_B: 2.384 idt_B: 0.798 
(epoch: 50, iters: 198, time: 0.125, data: 0.001) D_A: 0.132 G_A: 1.222 cycle_A: 0.571 idt_A: 0.505 D_B: 0.140 G_B: 0.660 cycle_B: 1.255 idt_B: 0.195 
(epoch: 51, iters: 100, time: 0.473, data: 0.328) D_A: 0.284 G_A: 0.782 cycle_A: 0.359 idt_A: 0.325 D_B: 0.196 G_B: 0.133 cycle_B: 0.617 idt_B: 0.154 
(epoch: 52, iters: 2, time: 0.124, data: 0.001) D_A: 0.196 G_A: 0.334 cycle_A: 0.944 idt_A: 0.546 D_B: 0.137 G_B: 0.271 cycle_B: 0.779 idt_B: 0.273 
(epoch: 52, iters: 102, time: 0.125, data: 0.002) D_A: 0.324 G_A: 0.471 cycle_A: 0.649 idt_A: 0.300 D_B: 0.213 G_B: 0.527 cycle_B: 0.887 idt_B: 0.271 
(epoch: 53, iters: 4, time: 0.123, data: 0.001) D_A: 0.219 G_A: 0.317 cycle_A: 1.607 idt_A: 0.634 D_B: 0.217 G_B: 0.202 cycle_B: 1.330 idt_B: 0.684 
(epoch: 53, iters: 104, time: 0.515, data: 0.000) D_A: 0.110 G_A: 0.838 cycle_A: 1.333 idt_A: 0.436 D_B: 0.132 G_B: 0.512 cycle_B: 0.777 idt_B: 0.724 
(epoch: 54, iters: 6, time: 0.126, data: 0.001) D_A: 0.074 G_A: 0.848 cycle_A: 1.293 idt_A: 0.621 D_B: 0.261 G_B: 0.288 cycle_B: 1.536 idt_B: 0.476 
(epoch: 54, iters: 106, time: 0.126, data: 0.000) D_A: 0.168 G_A: 0.211 cycle_A: 0.965 idt_A: 0.356 D_B: 0.462 G_B: 0.067 cycle_B: 0.764 idt_B: 0.371 
(epoch: 55, iters: 8, time: 0.125, data: 0.001) D_A: 0.104 G_A: 0.649 cycle_A: 1.406 idt_A: 0.290 D_B: 0.216 G_B: 0.162 cycle_B: 0.685 idt_B: 0.683 
(epoch: 55, iters: 108, time: 0.510, data: 0.000) D_A: 0.119 G_A: 0.361 cycle_A: 1.213 idt_A: 0.751 D_B: 0.233 G_B: 0.528 cycle_B: 1.617 idt_B: 0.583 
